name,entry_id,formationenergy_id,duplicate_entry_id,icsd_id,prototype,spacegroup,composition_generic,ntypes,natoms,volume_A3,formation_energy_eV_per_atom,stability_eV_per_atom,band_gap_eV,fit,calculation_label,unit_cell_json,sites_json
Lu,1216058,4061142,,,C19_alpha_Sm,R-3m,A,1,3,86.3513,0.0125899016666704,0.0125899016666704,0.0,standard,static,"[[-1.733802, 3.003035, 0.0], [3.467606, 0.0, 0.0], [1.733802, -1.001012, -8.292372]]","[""Lu @ 0 0 0"", ""Lu @ 0.778 0.222 0.334"", ""Lu @ 0.222 0.778 0.666""]"
Tm,1216098,4061145,,,C19_alpha_Sm,R-3m,A,1,3,88.6111,0.00639353000000042,0.00639353000000042,0.0,standard,static,"[[1.747609, -3.026948, 0.0], [1.747609, 3.026948, 0.0], [0.0, -2.017965, 8.375468]]","[""Tm @ 0 0 0"", ""Tm @ 0.222 0.778 0.334"", ""Tm @ 0.778 0.222 0.666""]"
Ne,4698,4061148,8086.0,24787.0,Cu,Fm-3m,A,1,1,21.7199,0.000137119999999998,0.000137119999999998,11.91,standard,static,"[[2.2145, -2.2145, 0.0], [-2.2145, 0.0, -2.2145], [2.2145, 2.2145, 0.0]]","[""Ne @ 0 0 0""]"
La,8130,4061151,8130.0,43568.0,W,Im-3m,A,1,1,37.7862,0.131232160000001,0.131232160000001,0.0,standard,static,"[[2.113933, 2.113933, 2.113933], [2.113933, -2.113933, -2.113933], [-2.113933, 2.113933, -2.113933]]","[""La @ 0 0 0""]"
Pr,8132,4061154,65970.0,43570.0,W,Im-3m,A,1,1,35.8871,0.1260863925,0.1260863925,0.0,standard,static,"[[2.077907, 2.077907, 2.077907], [2.077907, -2.077907, -2.077907], [-2.077907, 2.077907, -2.077907]]","[""Pr @ 0 0 0""]"
Kr,8203,4061157,8203.0,43726.0,Cu,Fm-3m,A,1,1,42.8308,0.002735225,0.002735225,7.487,standard,static,"[[2.776996, -2.776996, 0.0], [-2.776996, 0.0, -2.776996], [2.776996, 2.776996, 0.0]]","[""Kr @ 0 0 0""]"
V,7503,4061160,7503.0,41504.0,Cu,Fm-3m,A,1,1,13.5151,0.25849391,0.25849391,0.0,standard,static,"[[1.890584, -1.890584, 0.0], [-1.890584, 0.0, -1.890584], [1.890584, 1.890584, 0.0]]","[""V @ 0 0 0""]"
Rb,8533,4061163,8533.0,44755.0,W,Im-3m,A,1,1,89.5987,0.000720370000000026,0.000720370000000026,0.0,standard,static,"[[2.818906, 2.818906, 2.818906], [2.818906, -2.818906, -2.818906], [-2.818906, 2.818906, -2.818906]]","[""Rb @ 0 0 0""]"
Ta,7517,4061166,7517.0,41520.0,Cu,Fm-3m,A,1,1,18.7879,0.24225738,0.24225738,0.0,standard,static,"[[2.11, -2.11, 0.0], [-2.11, 0.0, -2.11], [2.11, 2.11, 0.0]]","[""Ta @ 0 0 0""]"
V,8082,4061169,8082.0,43420.0,W,Im-3m,A,1,1,13.1686,0.0,0.0,0.0,standard,static,"[[1.487624, 1.487624, -1.487624], [1.487624, -1.487624, 1.487624], [-1.487624, -1.487624, -1.487624]]","[""V @ 0 0 0""]"
Ne,8086,4061172,8086.0,43427.0,Cu,Fm-3m,A,1,1,22.212,0.0,0.0,11.657,standard,static,"[[2.2311, -2.2311, 0.0], [-2.2311, 0.0, -2.2311], [2.2311, 2.2311, 0.0]]","[""Ne @ 0 0 0""]"
