queried_structure,name,entry_id,formationenergy_id,duplicate_entry_id,icsd_id,prototype,spacegroup,composition,composition_generic,ntypes,natoms,volume_A3,formation_energy_eV_per_atom,stability_eV_per_atom,band_gap_eV,fit,calculation_label,unit_cell_json,sites_json
NaMnO2,NaMnO2,3382,4067577,3382.0,16270.0,NaNiO2(mS8),C2/m,Mn1 Na1 O2,ABC2,3,4,43.0443,-2.01967775370526,0.002759827499999812,1.292,standard,static,"[[0.0, 2.893509, 0.0], [2.808601, 1.446755, 0.008908], [-0.585578, -1.446755, -5.298496]]","[""Mn @ 0 0 0"", ""Na @ 0.5 0.5 0.5"", ""O @ 0.71 0.788 0.208"", ""O @ 0.29 0.212 0.792""]"
NaMnO2,NaMnO2,3216,4080873,3216.0,15769.0,LiMnO2,Pmmn,Mn1 Na1 O2,ABC2,3,8,86.581,-2.01674395620526,0.0056936250000001465,1.243,standard,static,"[[2.885388, 0.0, 0.0], [0.0, 6.323665, 0.0], [0.0, 0.0, 4.745143]]","[""Mn @ 0.25 0.627 0.25"", ""Mn @ 0.75 0.373 0.75"", ""Na @ 0.25 0.123 0.25"", ""Na @ 0.75 0.877 0.75"", ""O @ 0.75 0.417 0.25"", ""O @ 0.75 0.833 0.25"", ""O @ 0.25 0.167 0.75"", ""O @ 0.25 0.583 0.75""]"
NaMnO2,NaMnO2,695049,4909356,3382.0,,,R-3m,Mn1 Na1 O2,ABC2,3,4,43.2297,-1.94039446370526,0.08204311750000004,0.0,standard,static,"[[1.535073, 0.886276, 5.295819], [-1.535073, 0.886276, 5.295819], [0.0, -1.77255, 5.295819]]","[""Mn @ 0.5 0.5 0.5"", ""Na @ 0 0 0"", ""O @ 0.234 0.234 0.234"", ""O @ 0.766 0.766 0.766""]"
NaMnO2,NaMnO2,695046,4909362,3216.0,,,Pmmn,Mn1 Na1 O2,ABC2,3,8,87.1341,-2.01888754620526,0.0035500349999999514,1.234,standard,static,"[[2.893189, 0.0, 0.0], [0.0, 6.324391, 0.0], [0.0, 0.0, 4.762034]]","[""Mn @ 0 1 0"", ""Mn @ 0.5 0.25 0.5"", ""Na @ 0 0.502 0"", ""Na @ 0.5 0.748 0.5"", ""O @ 0.5 0.21 0"", ""O @ 0.5 0.794 0"", ""O @ 0 0.0403 0.5"", ""O @ 0 0.456 0.5""]"
NaMnO2,NaMnO2,695047,4909371,3382.0,,,C2/m,Mn1 Na1 O2,ABC2,3,4,43.4194,-2.02243758120526,0.0,1.29,standard,static,"[[0.0, 2.896267, 0.0], [-2.824588, 1.448133, -0.061267], [0.483115, -1.448133, 5.317976]]","[""Mn @ 0 0 0"", ""Na @ 0.5 0.5 0.5"", ""O @ 0.709 0.789 0.208"", ""O @ 0.291 0.211 0.792""]"
NaMnO2,NaMnO2,695048,4909863,695048.0,,,I41/amd,Mn1 Na1 O2,ABC2,3,16,171.422,-1.99264477933026,0.029792801874999997,1.239,standard,static,"[[-6.004921, 0.0, 0.0], [0.0, -6.004921, 0.0], [3.00246, 3.00246, 4.753931]]","[""Mn @ 0 0 0"", ""Mn @ 0 0.5 0"", ""Mn @ 0 0.5 0.5"", ""Mn @ 0.5 0.5 0.5"", ""Na @ 0.5 0 0"", ""Na @ 0.5 0.5 0"", ""Na @ 0 0 0.5"", ""Na @ 0.5 0 0.5"", ""O @ 0.216 0.252 0.00487"", ""O @ 0.789 0.252 0.00487"", ""O @ 0.248 0.284 0.495"", ""O @ 0.248 0.711 0.495"", ""O @ 0.752 0.289 0.505"", ""O @ 0.752 0.716 0.505"", ""O @ 0.211 0.748 0.995"", ""O @ 0.784 0.748 0.995""]"
NaMnO2,NaMnO2,1773006,6072740,1773006.0,,,Pna21,Mn1 Na1 O2,ABC2,3,16,168.648,-1.918826788705256,0.10361079250000405,0.0,standard,static,"[[4.407502, 0.0, 0.0], [0.0, 4.412085, 0.0], [0.0, 0.0, 8.672521]]","[""Mn @ 0.0603 0.999 0.125"", ""Mn @ 0.0603 0.499 0.375"", ""Mn @ 0.56 0.501 0.625"", ""Mn @ 0.56 0.00108 0.875"", ""Na @ 0.56 0.497 0.125"", ""Na @ 0.56 0.997 0.375"", ""Na @ 0.0602 0.00312 0.625"", ""Na @ 0.0602 0.503 0.875"", ""O @ 0.561 0.997 0.0956"", ""O @ 0.0603 0.494 0.155"", ""O @ 0.0603 0.994 0.346"", ""O @ 0.561 0.497 0.404"", ""O @ 0.0612 0.503 0.596"", ""O @ 0.56 0.00598 0.654"", ""O @ 0.56 0.506 0.846"", ""O @ 0.0612 0.00328 0.904""]"
NaMnO2,NaMnO2,2020397,6241340,695048.0,241352.0,,I41/amd,Mn1 Na1 O2,ABC2,3,16,169.01,-1.9875139062052565,0.034923675000003485,1.065,standard,static,"[[-3.003371638, 3.003371638, 4.684174616], [3.003371638, -3.003371638, 4.684174616], [3.003371638, 3.003371638, -4.684174616]]","[""Mn @ 0.375 0.625 0.25"", ""Mn @ 0.875 0.625 0.25"", ""Mn @ 0.375 0.125 0.75"", ""Mn @ 0.375 0.625 0.75"", ""Na @ 0.875 0.125 0.25"", ""Na @ 0.375 0.125 0.25"", ""Na @ 0.875 0.125 0.75"", ""Na @ 0.875 0.625 0.75"", ""O @ 0.591 0.378 0.213"", ""O @ 0.622 0.835 0.213"", ""O @ 0.128 0.415 0.287"", ""O @ 0.159 0.872 0.287"", ""O @ 0.128 0.841 0.713"", ""O @ 0.585 0.872 0.713"", ""O @ 0.165 0.378 0.787"", ""O @ 0.622 0.409 0.787""]"
NaMnO2,NaMnO2,2034822,6242222,2034822.0,678364.0,,Pnma,Mn1 Na1 O2,ABC2,3,16,174.47,-1.9431288074552562,0.07930877375000378,1.6880000000000002,standard,static,"[[11.010652877, 0.0, 0.0], [0.0, 2.858091381, 0.0], [0.0, 0.0, 5.544112724]]","[""Mn @ 0.126 0.75 0.0265"", ""Mn @ 0.626 0.75 0.474"", ""Mn @ 0.374 0.25 0.526"", ""Mn @ 0.874 0.25 0.974"", ""Na @ 0.38 0.25 0.0313"", ""Na @ 0.88 0.25 0.469"", ""Na @ 0.12 0.75 0.531"", ""Na @ 0.62 0.75 0.969"", ""O @ 0.802 0.75 0.164"", ""O @ 0.052 0.25 0.215"", ""O @ 0.552 0.25 0.285"", ""O @ 0.302 0.75 0.336"", ""O @ 0.698 0.25 0.664"", ""O @ 0.448 0.75 0.715"", ""O @ 0.948 0.75 0.785"", ""O @ 0.198 0.25 0.836""]"
NaMnO2,NaMnO2,2034814,6242239,2034814.0,678352.0,,Pm,Mn1 Na1 O2,ABC2,3,16,178.916,-1.929571505580256,0.09286607562500393,1.3090000000000002,standard,static,"[[5.630803366, 0.0, 0.0], [0.0, 2.849515292, 0.0], [-0.869816421, 0.0, 11.150847727]]","[""Mn @ 0.992 0.5 0.00381"", ""Mn @ 0.405 0 0.256"", ""Mn @ 0.041 0.5 0.511"", ""Mn @ 0.577 0 0.734"", ""Na @ 0.911 0.5 0.248"", ""Na @ 0.535 0 0.494"", ""Na @ 0.0811 0.5 0.763"", ""Na @ 0.493 0.5 0.999"", ""O @ 0.813 0 0.076"", ""O @ 0.264 0.5 0.162"", ""O @ 0.58 0.5 0.34"", ""O @ 0.128 0 0.406"", ""O @ 0.906 0 0.604"", ""O @ 0.404 0.5 0.643"", ""O @ 0.705 0.5 0.832"", ""O @ 0.166 0 0.927""]"
